"","twitter_ids"
"1","928273569926262784"
"2","927850121760591872"
"3","927498453403521025"
"4","927088960836456448"
"5","926788212697288704"
"6","926432555657760769"
"7","926097125188014082"
"8","925674553518514176"
"9","925624485549694976"
"10","925300168546799616"
"11","924928381245902851"
"12","924746025696464897"
"13","924247528253677570"
"14","923501440160714752"
"15","923208042673590274"
"16","922808495585538049"
"17","922808096526880768"
"18","922761386916270080"
"19","922404213879173122"
"20","921822403587698693"
"21","921776051302277120"
"22","921285280409309184"
"23","921014904659890178"
"24","920705503814209536"
"25","920311746241421314"
"26","919504433817452545"
"27","919456373989171201"
"28","919427195407396866"
"29","919196693756874753"
"30","919133370709405696"
"31","919131775611359232"
"32","918822940111724544"
"33","918746624180084736"
"34","918511903533649920"
"35","918389024993300481"
"36","918095265277579265"
"37","917807716374056960"
"38","917706179165474817"
"39","917442211851177989"
"40","917360105833877504"
"41","917349055218569216"
"42","917087299879481344"
"43","917074086387441664"
"44","916951585212850179"
"45","916760304989634560"
"46","916408862202318851"
"47","916322078307045377"
"48","916250107544301568"
"49","916000506249539584"
"50","915833949439582208"
"51","915632569546354688"
"52","915527265286606849"
"53","915283005136162816"
"54","915194991097602048"
"55","914905073213431810"
"56","914886999441625088"
"57","914784431776391173"
"58","914538627421663232"
"59","914534944835293185"
"60","914454299907944448"
"61","914216873901924354"
"62","914155462588866562"
"63","914102100828803072"
"64","913875494906531848"
"65","913741688266469376"
"66","913471975116460032"
"67","913358025330761728"
"68","913090810207457280"
"69","913040596138434562"
"70","912634225182068736"
"71","912224489253064704"
"72","912220693575675904"
"73","911996362337775616"
"74","911981721712758787"
"75","911872378615025664"
"76","911634627407831040"
"77","911516904417845248"
"78","911210948970647552"
"79","911177510553079808"
"80","910940404828303361"
"81","910798382180044801"
"82","910507332672671746"
"83","910436949718179841"
"84","910225354857512966"
"85","910223589688975360"
"86","910039194554322944"
"87","909796075329998849"
"88","909719121910263808"
"89","909449491530620928"
"90","909364482547359744"
"91","909100158729715712"
"92","909022199222296576"
"93","908989610998616065"
"94","908654854205317120"
"95","908630361638391809"
"96","908333884395462656"
"97","908262001851367425"
"98","908251822716080128"
"99","907951960959148032"
"100","907887714225324032"
"101","907637325294960641"
"102","907544531326967809"
"103","907275744153407488"
"104","907159750135173120"
"105","907140522128629760"
"106","906810470061019136"
"107","906532018607063040"
"108","906479776168382464"
"109","906208463310737410"
"110","906119199621357570"
"111","906056885480153089"
"112","905884830742740992"
"113","905865665806000130"
"114","905738305790193666"
"115","905711922653298688"
"116","905449971167752192"
"117","905415936009789440"
"118","905354463061446656"
"119","905329956498046976"
"120","905073352393490432"
"121","904990694275723265"
"122","904736781207207936"
"123","904636197766606848"
"124","904391428146692097"
"125","904319031322312704"
"126","904271159864287233"
"127","904271047284977664"
"128","904002875352895488"
"129","903907368869777408"
"130","903693742128947200"
"131","903593425160851456"
"132","903535011894349824"
"133","903319912952852480"
"134","903189781139648512"
"135","903139055935913988"
"136","902887793189367809"
"137","902823456097656832"
"138","902615280651825153"
"139","902535764906532865"
"140","902441109628100608"
"141","902193700641677312"
"142","902115861103865856"
"143","901748626019553280"
"144","901545154057842688"
"145","901378122129526784"
"146","901346833255026688"
"147","901052377075200000"
"148","900985374704533505"
"149","900648964470579200"
"150","900642004023070720"
"151","900620176873459712"
"152","900433122436796416"
"153","900356066868813825"
"154","900320791723741186"
"155","900258561758035968"
"156","900081869655597057"
"157","900024843705479170"
"158","899971056185872384"
"159","899909789056200704"
"160","899733921021259777"
"161","899690567587819521"
"162","899645557819310080"
"163","899610941733707776"
"164","899519692582395904"
"165","899333560745811968"
"166","899228612838162434"
"167","899190578482737152"
"168","899190476699561984"
"169","898988386828120064"
"170","898977177605197826"
"171","898926708828635138"
"172","898866475489910789"
"173","898552379267854336"
"174","898551473876893698"
"175","898549468588642307"
"176","898526858060468224"
"177","898248230391209986"
"178","898220330807963649"
"179","898146930349535232"
"180","897889700446224384"
"181","897866254257618944"
"182","897795219269308416"
"183","897500161408081924"
"184","897465299032829952"
"185","897048383579459584"
"186","896994452048420864"
"187","896802045126201344"
"188","896693119810457600"
"189","896443289481744385"
"190","896418915726884864"
"191","896278280625672192"
"192","896106869915242497"
"193","895998954978070528"
"194","895901229867520000"
"195","895659551407484928"
"196","895621846837710848"
"197","895599763864915969"
"198","895595639031070720"
"199","895566785574981632"
"200","895380465695297536"
"201","895169337979543552"
"202","894973485658800129"
"203","894909748054814721"
"204","894865996233814017"
"205","894636215248584704"
"206","894597520793501696"
"207","894549582067183616"
"208","894454020114395137"
"209","894260250966200320"
"210","894126753366626304"
"211","893925164328660993"
"212","893776479103967235"
"213","893755360535867392"
"214","893472852640485376"
"215","893447539701231617"
"216","893374695604703232"
"217","893195020794253312"
