"";"twitter_ids"
"1";"1085177097331580929"
"2";"1073530801327878144"
"3";"1072440039420891137"
"4";"1069228616268087297"
"5";"1068517882114453504"
"6";"1063340696348831744"
"7";"1062801224297259009"
"8";"1062309141371408384"
"9";"1061333752452931584"
"10";"1060433317357596672"
"11";"1059809527783153665"
"12";"1057972163733585920"
"13";"1057228415152078848"
"14";"1056577986428854272"
"15";"1054808847406284801"
"16";"1054633766172418048"
"17";"1053222421883437056"
"18";"1053178944453836800"
"19";"1051895069249363968"
"20";"1050705979736756225"
"21";"1042787841997254658"
"22";"1042742283106443264"
"23";"1042363550478606337"
"24";"1040544931629199360"
"25";"1039940463208353794"
"26";"1039834604604219392"
"27";"1039834374815055872"
"28";"1039834123311955969"
"29";"1039833511103016962"
"30";"1039833362419146752"
"31";"1039832706262216705"
"32";"1036635098920169472"
"33";"1036564434888654849"
"34";"1035516678807990273"
"35";"1019501221319790592"
"36";"1018016620122464256"
"37";"1014887413657886720"
"38";"1014540685297451009"
"39";"1011687180056580096"
"40";"1011609354028703747"
"41";"1011157074657628160"
"42";"1009704998765293568"
"43";"1009495768556867584"
"44";"1009432674597994496"
"45";"1009325141237657600"
"46";"1009100844451627009"
"47";"1008316176995192833"
"48";"1006871521514618880"
"49";"1006204240455458816"
"50";"1004774463911710720"
"51";"1004672038148198400"
"52";"1004440356979699713"
"53";"1000759761430876162"
"54";"999935162816389120"
"55";"995167087646662656"
"56";"994915680448327680"
"57";"991205144783179776"
"58";"990837964015132672"
"59";"989465181351829504"
"60";"989135012917399554"
"61";"986648197484417025"
"62";"985915898920914944"
"63";"984755468521402368"
"64";"984048787315359746"
"65";"981434796055330816"
"66";"981155839439441920"
"67";"981153348551311360"
"68";"980862225526284289"
"69";"979324343992897536"
"70";"979306725647048704"
"71";"978221240992313344"
"72";"977958091835760640"
"73";"977565176831578112"
"74";"977239149991354369"
"75";"974561391439962112"
"76";"974200674123698178"
"77";"973974103274278913"
"78";"973940281719578624"
"79";"973933020196605952"
"80";"973201301533265921"
"81";"972144423336316929"
"82";"971787017301512193"
"83";"971358003273388033"
"84";"970671368286228481"
"85";"969942791043330048"
"86";"969195205202251778"
"87";"968948130841546754"
"88";"968815496861831168"
"89";"968775699803799552"
"90";"967791556328611842"
"91";"967309095727493120"
"92";"967090455174369280"
"93";"966581977058021381"
"94";"965859480004067328"
"95";"964079262599995393"
"96";"963768129724846080"
"97";"963701718939832320"
"98";"961998443605643264"
"99";"961695683597225984"
"100";"960409515941351424"
"101";"959823976360022016"
"102";"959524740246491136"
"103";"959365453662621696"
"104";"959104840864555010"
"105";"959098465899941888"
"106";"958988299611361280"
"107";"958736817246875649"
"108";"955903105320869890"
