"","twitter_ids"
"1","914810820873408513"
"2","903292372880117761"
"3","895194214841057281"
"4","893616306674692098"
"5","886954701245120512"
"6","885771388774215681"
"7","884326436110290949"
"8","883076143578054656"
"9","882889200122699776"
"10","882170974271090688"
"11","880789147832725504"
"12","880311727451238401"
"13","879794610976980993"
"14","879768619303006208"
"15","878231723363926017"
"16","878231720884973568"
"17","877725899860447236"
"18","877491422571753473"
"19","877166769592573952"
"20","874630263913033728"
"21","872701032886927361"
"22","871959705287090176"
"23","871713765879947265"
"24","871262818825363456"
"25","870160156469997568"
"26","869848374928961536"
"27","869481991841996800"
"28","869132660597305346"
"29","867817782720815104"
"30","867686043394375680"
"31","867676226206539776"
"32","867421404286914560"
"33","867028908755099649"
"34","866978566097043456"
"35","866926358299103232"
"36","866921839003656192"
"37","865638955508563968"
"38","861922247119863809"
"39","861709688861327362"
"40","861679367256244224"
"41","861564979526475777"
"42","861525006265839616"
"43","861241562294095872"
"44","860461097966596096"
"45","860161029300527105"
"46","860160137943711744"
"47","859022730624217094"
"48","858356301398761472"
"49","858321084470448128"
"50","857594219711664128"
"51","856558650210570240"
"52","856442614543003648"
"53","856198740729876480"
"54","855924289060601857"
"55","855562486300520451"
"56","853689715601625088"
"57","853209410990219264"
"58","852904803571302400"
"59","852153371561783296"
"60","851730076035153920"
"61","851484877459476482"
"62","851423149900128257"
"63","851153808755482624"
"64","851003926505816064"
"65","850987450008649733"
"66","850489236176478210"
"67","850484184875499520"
"68","850092791002787840"
"69","850062685073006595"
"70","850009842660016128"
"71","849278970910703617"
"72","848133315936833536"
"73","847606218935853056"
"74","847515571935760384"
"75","846684656636477444"
"76","846593996042440704"
"77","846261818674892801"
"78","846246788961067008"
"79","845250106165219328"
"80","811529240684494848"
"81","799235116728012800"
"82","794546225378947073"
"83","789873522101325824"
"84","789521782134960128"
"85","776827354693894144"
"86","772725455052865536"
"87","767441013728223232"
"88","765991118404251648"
"89","765990423735173120"
"90","765983703642304518"
"91","763409813187530753"
"92","755714498271600640"
"93","753235864717783041"
"94","732961140637093889"
"95","732898216614694912"
"96","653529416568565760"
"97","644812667128020992"
"98","643611116027936768"
"99","931885970936483840"
"100","930902296267051008"
"101","930780001733050368"
"102","930777041795977216"
"103","929730520602300421"
"104","929688871918546944"
"105","928727030371319808"
"106","928630253949472768"
"107","928343078875881474"
"108","928295301517074432"
"109","928183373180342272"
"110","925424215964217345"
"111","924960264868519937"
"112","924564493392326656"
"113","924295699688280064"
"114","924295244425900032"
"115","924261628262182913"
"116","924261090313277445"
"117","923875697516523521"
"118","923543307283779584"
"119","922489563867738112"
"120","921669892654358528"
"121","921665168169369600"
"122","921596733926363136"
"123","921407803193024513"
"124","921134960525893633"
"125","920958322085425152"
"126","920958303370465281"
"127","920571832092250113"
"128","920526558842032128"
"129","920526523551100930"
"130","920526396241391616"
"131","920238944414990337"
"132","919102620568096769"
"133","918407509672644608"
"134","918370657125138432"
"135","918190094540005376"
"136","918190062780723202"
"137","918190032342700032"
"138","918100676982566912"
"139","917372675324022785"
"140","917309020414922752"
"141","916969711413407744"
"142","916969677536092160"
"143","916561641038385152"
"144","915911169906495489"
"145","915286007616016385"
"146","914842951121080320"
"147","914831860144001024"
"148","914831822361677824"
"149","914761606910955520"
"150","913295852436955137"
"151","913077922617004032"
"152","913025227134832641"
"153","912939509557481472"
"154","912939461390061568"
"155","912753638220627968"
"156","912655496196354049"
"157","911304086972239872"
"158","910126359871086593"
"159","908581892068429824"
"160","906917687485456384"
"161","904764613014773762"
"162","904252693144891392"
"163","901036160868388867"
"164","898122877228208129"
"165","895971734033244160"
"166","895553371607769089"
"167","895188829086339072"
"168","893422518324908033"
"169","893092083300478976"
"170","893091940195074048"
"171","893076513393922048"
"172","892761533117329408"
"173","892755887529635841"
"174","892755691378810880"
"175","891990578614996992"
"176","889557007937753088"
"177","889556946247966721"
"178","889556815276642304"
"179","889556748213866496"
"180","889378371762782208"
"181","887746397746888704"
"182","884699081360248833"
"183","884695051842060288"
"184","882240737584218112"
"185","881948535360454657"
"186","881947281586606080"
"187","881933327875407872"
"188","881932339538010112"
"189","881868028434108417"
"190","881867773059715077"
"191","881565993700667397"
"192","879293164519030786"
"193","879268808229343233"
"194","879268788658741250"
"195","877550337065988096"
"196","872343047132106752"
"197","871301759020544000"
"198","871275341649768449"
"199","871245108452241409"
"200","870549919756636160"
"201","870176858528206848"
"202","870175756953026560"
"203","869917281584807936"
"204","868114174647431168"
"205","868114147044724742"
"206","868114099149959170"
"207","868100817865379840"
"208","868083657159966720"
"209","867810695882190849"
"210","867350098128363522"
"211","867006844862169088"
"212","866619736565657600"
"213","866619659826716674"
"214","866619255294394368"
"215","866619204191080450"
"216","866619105452937217"
"217","866619037383618563"
"218","866226678913216512"
"219","866226556687065088"
"220","866224499024375808"
"221","866224387372068865"
"222","865205343093088261"
"223","864773476816736256"
"224","864444100925415424"
"225","864358227495927808"
"226","864223870437470208"
"227","864067783323156480"
"228","862997155442823170"
"229","861179325487493120"
"230","861159126801494016"
"231","861120927324667904"
"232","860557249630097409"
"233","860092212813729793"
"234","859494191180787713"
"235","859494072100245511"
"236","858289967625359361"
"237","858203834157604864"
"238","858201108807901184"
"239","857937093733093376"
"240","857935332041519104"
"241","857872950548197376"
"242","857845170355789824"
"243","857844774233145344"
"244","857844617588465664"
"245","857572582694023170"
"246","857281502102605824"
"247","857178737200287744"
"248","857165627294875650"
"249","857117451741519873"
"250","857117386994049025"
"251","856835789262659584"
"252","856736228212957184"
"253","856587127097884676"
"254","856558118750355456"
"255","856558014672896000"
"256","856193819154554882"
"257","856159708092223488"
"258","856159502961344512"
"259","856154197015891968"
"260","855855521957634051"
"261","855472221019660288"
"262","855168655663013888"
"263","854773789476913153"
"264","854768665421656065"
"265","854759668320800768"
"266","854633460476018689"
"267","854633334726590464"
"268","854633297095348224"
"269","854632976352780288"
"270","854632638744858624"
"271","854364369584615426"
"272","854344973789089792"
"273","854241854337957889"
"274","852964483509227521"
"275","852940544116477953"
"276","852808661709725696"
"277","852801108925792258"
"278","852519696263983104"
"279","852519672725606401"
"280","852473577333026817"
"281","852097231742259200"
"282","851470059667165184"
"283","851403896165720065"
"284","851314305253470208"
"285","851009542817275904"
"286","850770250140454914"
"287","850295286580883457"
"288","850266250777198592"
"289","849872965521027072"
"290","849872933531131905"
"291","849274648307134465"
"292","849203936636661760"
"293","848956576329334788"
"294","848903561366974465"
"295","847708049280188417"
"296","847488578699501568"
"297","847342634834120704"
"298","847039188402913280"
"299","846630334145941505"
"300","844147933587165184"
"301","843780642664071168"
"302","842283292250509312"
"303","841987065046810624"
"304","841703009704919041"
"305","841378922973548544"
"306","841293359260008450"
"307","841248616643727360"
"308","840846603674091520"
"309","840311363130003460"
"310","840186993359409152"
"311","838710835639947264"
"312","838101740738215937"
"313","837992922645676033"
"314","837355697432113153"
"315","837296675504926720"
"316","836851410306273280"
"317","836820411539161088"
"318","836820393826603008"
"319","836227981001502720"
"320","836227917646598145"
"321","835851048711512064"
"322","835476147613884416"
"323","835449704305549312"
"324","835449689722011652"
"325","835377974383882240"
"326","835048535909347328"
"327","834677937534296064"
"328","834677655660290049"
"329","834677564320911360"
"330","834677514840727552"
"331","834677469630304256"
"332","834392120035270656"
"333","833993774791589889"
"334","833964480455380992"
"335","833963479417618433"
"336","833706529153044480"
"337","833610658272907264"
"338","833287245910138881"
"339","832255995804004353"
"340","832206604682534912"
"341","832137469311201280"
"342","832134925310623745"
"343","831787035740532737"
"344","831786920304922624"
