"";"twitter_ids"
"1";"980933920366714881"
"2";"657678724192669696"
"3";"657677371483553792"
"4";"993448372358000640"
"5";"992441524058247168"
"6";"991665076099780608"
"7";"990220350360256513"
"8";"989201748400144385"
"9";"988823727818321922"
"10";"988687390465318912"
"11";"988490629993857025"
"12";"986851649850404864"
"13";"984739582829875205"
"14";"984487876544122881"
"15";"983587594683518977"
"16";"983215593548603394"
"17";"983108192069615617"
"18";"983055768445509632"
"19";"982675302940860416"
"20";"982539796563267586"
"21";"982101312387993601"
"22";"981599977637056513"
"23";"981393346932498432"
"24";"981060468126240768"
"25";"978631672345309185"
"26";"978508712406024192"
"27";"978360505088823299"
"28";"978297030211768320"
"29";"978237943176355840"
"30";"978143014429364224"
"31";"977970403451768834"
"32";"977811555529232384"
"33";"977596050860052482"
"34";"977437362853744640"
"35";"977273518185500672"
"36";"977077402500325377"
"37";"976877345381535744"
"38";"976697016645488642"
"39";"976433650756673536"
"40";"976335729176428545"
"41";"976178246042750976"
"42";"976112721614856194"
"43";"975984182341128192"
"44";"975782514114613248"
"45";"975713184005984258"
"46";"975624950945144832"
"47";"975255398436540416"
"48";"975111909878923265"
"49";"975070824821641216"
"50";"974904184918200320"
"51";"974550941364973570"
"52";"974351650235265024"
"53";"974195622982115328"
"54";"973904950437842944"
"55";"973825244099203074"
"56";"973643972441763841"
"57";"973577931481022464"
"58";"973446071006482433"
"59";"973280679067873280"
"60";"973099415761276928"
"61";"972848777383108608"
"62";"972748131455598594"
"63";"972456901085683712"
"64";"972424415047770112"
"65";"972411951765753856"
"66";"972138947685044224"
"67";"972009639100338177"
"68";"971849048708796416"
"69";"971817108878307330"
"70";"971642605342810112"
"71";"971521644886937605"
"72";"971441161654202371"
"73";"971262462141124613"
"74";"970983345952841728"
"75";"970901768057053184"
"76";"970767454195650560"
"77";"970561073458962432"
"78";"970330469815472128"
"79";"970200175422726144"
"80";"969814362079842309"
"81";"969474508125036545"
"82";"969104905507168256"
"83";"968916249609728001"
"84";"968707775894360064"
"85";"968536202352775169"
"86";"968379752334716928"
"87";"968130502002642944"
"88";"968028238764302336"
"89";"967760320029741056"
"90";"967371209091485696"
"91";"967157901977620480"
"92";"967117052833083392"
"93";"966923585234255872"
"94";"966751464206028800"
"95";"966640129518505984"
"96";"966568923993919489"
"97";"966301979906592768"
"98";"966197462598897664"
"99";"966006759813939200"
"100";"965870322082861056"
"101";"965833708145168384"
"102";"965260408037740544"
"103";"965116762852413440"
"104";"964747651290947589"
"105";"964402990625861632"
"106";"964282033219555328"
"107";"964030093461983232"
"108";"963874595987214336"
"109";"963647851103444993"
"110";"963304971117760512"
"111";"963038362981556224"
"112";"962940503435161601"
"113";"962604239385169921"
"114";"962241620438523904"
"115";"962031542448005121"
"116";"961860839165779969"
"117";"961465380240752641"
"118";"961259389364645888"
"119";"961130375442567168"
"120";"960771127026094082"
