"","twitter_ids"
"1","954437954050633729"
"2","746687002226073600"
"3","745739448734855169"
"4","708290001717600256"
"5","701179612978671617"
"6","701179349102366720"
"7","678623659980812288"
"8","678623479621550080"
"9","678623157452845057"
"10","648188607103168512"
"11","648182136747487232"
"12","619167417185513472"
"13","617722981968691200"
"14","611624537390579712"
"15","611622735081422848"
"16","611622325885140992"
"17","609696663150690304"
"18","592315566930718720"
"19","592314303467954177"
"20","589874019047997441"
"21","588709937653645312"
"22","588709402015834112"
"23","580413048646696960"
"24","580412937480900608"
"25","573890411741208576"
"26","566928905819652096"
"27","566926618590216192"
"28","562961401904627713"
"29","559724541065580544"
"30","553202338832613376"
"31","553196685573513217"
"32","552877253722648576"
"33","552876019204755457"
"34","552788535313719296"
"35","550714507262443521"
"36","549947196263522305"
"37","546969084798464000"
"38","545222669118218240"
"39","543367015705366528"
"40","540816938646396928"
"41","538347111532605440"
"42","537578140751900673"
"43","534695962825199616"
"44","534691061944561665"
"45","533395575618953216"
"46","533285406822113281"
"47","533230404942442496"
"48","532238553913524224"
"49","530691701900595201"
"50","529645177355636736"
"51","527215138328543232"
"52","525591946392510464"
"53","520550165628071936"
"54","507927981848027136"
"55","507919360133169152"
"56","505788435651903489"
"57","501365180090290176"
"58","501362880068198400"
"59","499607471468871680"
"60","498768937912655872"
"61","491991518073208832"
"62","471727654354583553"
"63","471625723862847488"
"64","469798875331821568"
"65","469516078578950144"
"66","408628835828002816"
"67","408627729622237184"
"68","285725842124992512"
"69","222307491080454145"
"70","222301029839028225"
"71","210332560792887296"
"72","196236971050414080"
"73","191912616149516288"
"74","191834735713058816"
"75","179876935218900992"
"76","170544279020781569"
"77","169847687078887424"
"78","169210359113203712"
"79","158864756445421568"
"80","153826825607450624"
"81","125851328005160960"
"82","123391356784746496"
"83","121182555201486848"
"84","120967878068535296"
"85","120910039987916800"
"86","120801210361069568"
"87","109268518528221184"
"88","107033313033715713"
"89","103455588448616448"
"90","100858768463626240"
"91","100674772895150080"
"92","100648252138987520"
"93","99445597651738625"
"94","94372025367412736"
"95","93624157203468288"
"96","93620774941896705"
"97","81361167435579392"
"98","79644795982725120"
"99","79644615409549312"
"100","79132721946963968"
"101","76304794318409728"
"102","75870202222489600"
"103","72289117966315520"
"104","65733649085104128"
"105","63235119179251712"
"106","58877443104186368"
"107","58517179775201280"
"108","57381685905465345"
"109","57127219809624065"
"110","56675354491891713"
"111","56397879664852992"
"112","55260842836500480"
"113","55231715723067392"
"114","53432205921370112"
"115","53060959480201217"
"116","45901121922928640"
"117","45813206983254016"
"118","45413447260839937"
"119","42632036808261632"
"120","40340788575612928"
"121","40059291515895808"
"122","40010175117139969"
"123","39377468150386688"
"124","38538637218021376"
"125","38170019762405376"
"126","37553387511750657"
"127","37553047915872257"
"128","37519543844872192"
"129","37081082033610752"
"130","36385879303917568"
"131","36146103749447680"
"132","36014028551622656"
"133","35299935314255872"
"134","34554771184558082"
"135","33894074134044672"
"136","33524669541777408"
"137","33524332403630080"
"138","33193180715286529"
"139","33119537868046336"
"140","33100368434962432"
"141","32735088630308864"
"142","32448967644020737"
"143","30228355764715520"
"144","30206206094082048"
"145","30189458238214144"
"146","29509938673881089"
"147","28923788385062912"
"148","28768852913426432"
"149","28749555390488576"
"150","28749287579975680"
"151","27739239684767744"
"152","26964630777626625"
"153","26937835772715008"
"154","26937560169189376"
"155","25617582451064833"
"156","21650251987296257"
"157","21285438966730752"
"158","21215888069885952"
"159","20874190378770433"
"160","1468583109151055874"
"161","1466464270820982785"
"162","1465068529858887681"
"163","1465064464919715845"
"164","1461776220161458187"
"165","1461634474484109324"
"166","1459471402491420672"
"167","1459470741246779392"
"168","1455444674034995201"
"169","1455444381511688197"
"170","1451936273740955651"
"171","1451935395986481163"
"172","1451935238364487690"
