"";"twitter_ids"
"1";"1056797038917107712"
"2";"1054989071397871617"
"3";"1054388778297647104"
"4";"1054025612019539968"
"5";"1053663325916184577"
"6";"1053662248579801089"
"7";"1053523022148190208"
"8";"1053520161070821376"
"9";"1052948601532502017"
"10";"1052841534184402944"
"11";"1052820353402249216"
"12";"1052791730871754752"
"13";"1052199219778355200"
"14";"1051846098921410560"
"15";"1051447033603735552"
"16";"1050609370071879681"
"17";"1049660654968299520"
"18";"1049659840551890946"
"19";"1048214972612988931"
"20";"1047155522150051840"
"21";"1046294464837431296"
"22";"1045658941395472384"
"23";"1043940342976974849"
"24";"1043745036381380608"
"25";"1041938949848096774"
"26";"1041013338547937288"
"27";"1041012890998845440"
"28";"1041012666662375424"
"29";"1040647754106773506"
"30";"1040639005447135232"
"31";"1039919580632805376"
"32";"1039556496575614976"
"33";"1039165956449333248"
"34";"1039164767691268096"
"35";"1038701392238714880"
"36";"1035167868911071232"
"37";"1033036010568011776"
"38";"1032932372801572864"
"39";"1029807496163217408"
"40";"1027576272451510273"
"41";"1027576239631020033"
"42";"1027574477364883456"
"43";"1027428487827783686"
"44";"1027250116497948674"
"45";"1026551520337190912"
"46";"1026540217677869056"
"47";"1026503000938962944"
"48";"1026502679256813568"
"49";"1026502416064237568"
"50";"1024330076954013697"
"51";"1022465378671316999"
"52";"1022416702628352000"
"53";"1021798458959781889"
"54";"1021676817013514240"
"55";"1021365874467500033"
"56";"1019916880629379072"
"57";"1019912152222707712"
"58";"1019587732425887744"
"59";"1018926588786872325"
"60";"1018576830666887169"
"61";"1018073125668507649"
"62";"1018066521912958976"
"63";"1017705356288552961"
"64";"1017305754020302848"
"65";"1017112320793894913"
"66";"1016662125945778177"
"67";"1016303694231539712"
"68";"1015630189030756354"
"69";"1015628545807278080"
"70";"1015473537526747136"
"71";"1014563160987242497"
"72";"1014161466004590593"
"73";"1013071469079941120"
"74";"1013027263019913216"
"75";"1011992674419736577"
"76";"1011678083659726850"
"77";"1007870224237031425"
"78";"1007645164398104576"
"79";"1006266883522355200"
"80";"1004769198671843328"
"81";"1003716950206435333"
"82";"1003297430744518656"
"83";"1002637017648369664"
"84";"1000330467667841024"
"85";"1000016315221008385"
"86";"999669471911514112"
"87";"998634646006005760"
"88";"998631936485679104"
"89";"998009145604411397"
"90";"997712316551528455"
"91";"996376970580590592"
"92";"996335497533370368"
"93";"995060954458152960"
"94";"992773666114072577"
"95";"992773391827591169"
"96";"992126181817405441"
"97";"991653042259988480"
"98";"991043389884858368"
"99";"990115400460496896"
"100";"989497205814956032"
"101";"989043608442626048"
"102";"989036746846466048"
"103";"988788472231194624"
"104";"988772068480245760"
"105";"986877736575791105"
"106";"986487495734054912"
"107";"984328420833230848"
"108";"983956802340614145"
"109";"983643035618693122"
"110";"983362840676487169"
"111";"980129854875144193"
"112";"979815098796724224"
"113";"979566054564179968"
"114";"979036834566213634"
"115";"979035725046910976"
"116";"976925729500925952"
"117";"975293976025673729"
"118";"975252143409172480"
"119";"973847456193699840"
"120";"973717822772826113"
"121";"973716456222404608"
"122";"973107800153968642"
"123";"972751188075712512"
"124";"972591402403155969"
"125";"972473789526224897"
"126";"971055829276418049"
"127";"970255083203162112"
"128";"970013103025983488"
"129";"969610271374413824"
"130";"969610204718432256"
"131";"969305748147769351"
"132";"968856691373674498"
"133";"968525253482819585"
"134";"968478112928452608"
"135";"967811913550790656"
"136";"967356075291938816"
"137";"966720256361353221"
"138";"966397296547192832"
"139";"966290455091654656"
"140";"966210576308473856"
"141";"966200719174000640"
"142";"963495492448653312"
"143";"963131011092578304"
"144";"962728703322214400"
"145";"962009905807835138"
"146";"961273638048673793"
"147";"961166598336892934"
"148";"961139405015699460"
"149";"961138546273849344"
"150";"960947863739162624"
"151";"960554277038108672"
"152";"960546501780037632"
"153";"960543979124264962"
"154";"960193750575271936"
"155";"959310253757120512"
"156";"959075147708882944"
"157";"959037712715132929"
"158";"958335527777918976"
"159";"958078556596326401"
"160";"958048389966581762"
"161";"958000076806377472"
"162";"957681434260590592"
"163";"957677972110094338"
"164";"956633565122396160"
"165";"956458197694509058"
"166";"955924064056508417"
"167";"955860552236109824"
"168";"954392975278264326"
"169";"954236764633423872"
"170";"954009319577718784"
"171";"953716879910203392"
"172";"953716092744192002"
"173";"953666546970300417"
"174";"953598779437043713"
"175";"953597326903439360"
"176";"953595704278175744"
"177";"953577272178593792"
"178";"953576871249285121"
"179";"953576613651865600"
"180";"953513429561675776"
"181";"951820536472010752"
"182";"951521467111477248"
"183";"950652393850589184"
"184";"949698195206168576"
"185";"948419820726423552"
"186";"948185687089729536"
"187";"947383808185262080"
"188";"947328890736992257"
"189";"947327409610780672"
"190";"946698084616167425"
"191";"946441543094886400"
"192";"946026162303700992"
"193";"946025640263811073"
"194";"945618823251742720"
"195";"943727258753228801"
"196";"943590408008978433"
"197";"943589115349565442"
"198";"941971963924434944"
"199";"941233050628829185"
"200";"940312387411988481"
"201";"940271293391364096"
"202";"940255941169119232"
"203";"940226151762550784"
"204";"939864243117191170"
"205";"939858783119044608"
"206";"939087147981787136"
"207";"938464564047466498"
"208";"938453627408089090"
"209";"938289807498850304"
"210";"938067893031448576"
"211";"937704486260367360"
"212";"937639920084115456"
"213";"935205041446772736"
"214";"934476560492580864"
"215";"934407240244776961"
"216";"934098636849451009"
"217";"934098353113182208"
"218";"933766679062024192"
"219";"933590807671689216"
"220";"933376633687478273"
"221";"932944590235107333"
"222";"932744805502914561"
"223";"932298210068041728"
"224";"932298080111742977"
"225";"931527642653872130"
"226";"930834077313314818"
"227";"930709388712693760"
"228";"930456983563571201"
"229";"930341355234185216"
"230";"930339757753815040"
"231";"930139302591418369"
"232";"930045372159938561"
"233";"929293251328331776"
"234";"929052313267863552"
"235";"929020239463018496"
"236";"928983159890497536"
"237";"928946674185244672"
"238";"928946487995838465"
"239";"928945751031414786"
"240";"928867204786946048"
"241";"928635937487245313"
"242";"928350851042828288"
"243";"928273528922759168"
"244";"927933471733047297"
"245";"927908880851570690"
"246";"927850374056304640"
"247";"927778972825473026"
"248";"927566761834221568"
"249";"927507766448742400"
"250";"927494031692713984"
"251";"927268998328324096"
"252";"926364347672223745"
"253";"926338325073551360"
"254";"925959367043764225"
"255";"925767411348983808"
"256";"925767040664776705"
"257";"925425318499835904"
"258";"924294387873538048"
"259";"923493196147109888"
"260";"923217952396271616"
"261";"922418849483558912"
"262";"922387225664540672"
"263";"921599274969894912"
"264";"920715465428799498"
"265";"920712358451974145"
"266";"919129856004280320"
"267";"918116318250983425"
"268";"918074046138519552"
"269";"917778155187986432"
"270";"917777950971482115"
"271";"917046985244495872"
"272";"916726246469447682"
"273";"914098751052054529"
"274";"914076255754113024"
"275";"913832861756723200"
"276";"913829192734842880"
"277";"913451560822280192"
"278";"913367373482209280"
"279";"913342065160937472"
"280";"913333479496146944"
"281";"913131637621366784"
"282";"913127369946402816"
"283";"913076049659011072"
"284";"913074627160760322"
"285";"910872807537508352"
"286";"910872542310694913"
"287";"910600212158271489"
"288";"909375661625790464"
"289";"909371600092491776"
"290";"907973025596940289"
"291";"907922378126229504"
"292";"907662180325187584"
"293";"907548898067206146"
"294";"906895769214603264"
"295";"906890338144583680"
"296";"906516707224813568"
"297";"905106940136751107"
"298";"903680625324036096"
"299";"902575252655423489"
"300";"902509567522852864"
"301";"900929920322240514"
"302";"900765959526526977"
"303";"900592331262500864"
"304";"900007193147310080"
"305";"900002156983529473"
"306";"899243080569806849"
"307";"898239335350362117"
"308";"897149535088250880"
"309";"895946679630921729"
"310";"894467738051194881"
"311";"894459757624516608"
"312";"893135154381762560"
"313";"893135062790754306"
"314";"892399483518169088"
"315";"892371056740249601"
"316";"891973312993218560"
"317";"891680702005116929"
"318";"885567778094297092"
"319";"885518198778540034"
"320";"885518073805099008"
"321";"885504187446046722"
"322";"885426028121817088"
"323";"884812859804454913"
"324";"883305065343324160"
"325";"882326711286845440"
"326";"882280737709461504"
"327";"881795068927119360"
"328";"881792661551820800"
"329";"880444427738771456"
"330";"880384663956619264"
"331";"880382972083527680"
"332";"879977455343329280"
"333";"879377432373075968"
"334";"879375228148830208"
"335";"878016263192100864"
"336";"876491438493757440"
"337";"876467539651571712"
"338";"875121704691019776"
"339";"874496730011758592"
"340";"874273098543058944"
"341";"873961748554010624"
"342";"872850939564236802"
"343";"872077688151965696"
"344";"871287922741399552"
"345";"871248436259106817"
"346";"870955694727589888"
"347";"870311780274368512"
"348";"869604564076572673"
"349";"867441409179217923"
"350";"864890970135027712"
"351";"864177929969967105"
"352";"862704820158902272"
"353";"862639803006844928"
"354";"861994057534517248"
"355";"861978369046523906"
"356";"860048453535244288"
"357";"859502908831936512"
"358";"859451512904454144"
"359";"858764679224676354"
"360";"857536270393901056"
"361";"857535650513526784"
"362";"856912083094470660"
"363";"856880518515884033"
"364";"856880313070493696"
"365";"856858824929673216"
"366";"856546273847062533"
"367";"856511140016394240"
"368";"855158672179290112"
"369";"854421559884304384"
"370";"854413951223967744"
"371";"854288800629051392"
"372";"852932520589053953"
"373";"851708267130748929"
"374";"849193280013258752"
"375";"848594473949040640"
"376";"847441768144527364"
"377";"847198426869747712"
"378";"845309733632446468"
"379";"843419753934929920"
"380";"839006615344975873"
"381";"838995562452090880"
"382";"838993959330406400"
"383";"837736423335813122"
"384";"837543121848164354"
"385";"837230060180488192"
"386";"837225925318176769"
"387";"837150507508592646"
"388";"836993330064080896"
"389";"836935229139005441"
"390";"836934523040432128"
"391";"836933225524178944"
"392";"836932164591706112"
"393";"836931279622930432"
"394";"836929693836279810"
"395";"836632029315874816"
"396";"836117484973490178"
"397";"835458263609143296"
"398";"834904645810196481"
"399";"831905571704098817"
"400";"831530548514390016"
"401";"830044180688822272"
"402";"829721049788985344"
"403";"829700617757192192"
"404";"829076233778581505"
"405";"829075401473458177"
"406";"828631928660164614"
"407";"828470968028913664"
"408";"827575387425296385"
"409";"827388897764139008"
"410";"827080059089457152"
"411";"826714786444492800"
"412";"826674829172568066"
"413";"826190026576904194"
"414";"826188338415681537"
"415";"826177299758321666"
"416";"826089567144927232"
"417";"825843868730085376"
"418";"824654226081124352"
"419";"823619824060342272"
"420";"823092211076235264"
"421";"822956324388536320"
"422";"821091492525707265"
"423";"820991286320726016"
"424";"819928133361078272"
"425";"819924054106849281"
"426";"819067385634258945"
"427";"818867138119221249"
"428";"818864008216346625"
"429";"818826930522849281"
"430";"818340989756735490"
"431";"817756648269877250"
"432";"815349304017776641"
"433";"815349147905753094"
"434";"815102759653535744"
"435";"814907998787272704"
"436";"812262980641587200"
"437";"811681973806727168"
"438";"809518734922674177"
"439";"808699896937250816"
"440";"807217736476663809"
"441";"806176663193128960"
"442";"805835302476595200"
"443";"805584237235761152"
"444";"805039557133631488"
"445";"804617986195750912"
"446";"803879592075399168"
"447";"803350885598461952"
"448";"803312209556213763"
"449";"802467164657618944"
"450";"801844213327556608"
"451";"801472901765599233"
"452";"801123521816629248"
"453";"801122946790158336"
"454";"800323229516779520"
"455";"799675509214969856"
"456";"798878589349494785"
"457";"798878262189555712"
"458";"796209797418852353"
