"","twitter_ids"
"1","912228129401339904"
"2","912227949411229696"
"3","911260378541281280"
"4","911152797369929733"
"5","911147961014521856"
"6","904748889365983234"
"7","894880485763055617"
"8","894508941824143360"
"9","883280591608848384"
"10","783309639668666368"
"11","747677932005507074"
"12","727777408334626820"
"13","702424752183496704"
"14","702116461934936064"
"15","699918371110916096"
"16","684697050890514432"
"17","672145697865641984"
"18","666906996969504768"
"19","666906751871119361"
"20","664384784832061440"
"21","664372901475389440"
"22","664076149581094912"
"23","661958876242305024"
"24","660369963262320640"
"25","626402624150093825"
"26","626342959777226752"
"27","616259879485968384"
"28","613617512215900160"
"29","606718758095351808"
"30","606080288507195392"
"31","605391818570797056"
"32","603893636514852864"
"33","603476079152607234"
"34","601739541108633600"
"35","600941517151281152"
"36","598092400469368832"
"37","593388033933766656"
"38","586556615828078592"
"39","580547151090065409"
"40","580303377411780608"
"41","577516689023217664"
"42","574885638429896704"
"43","574880814254714880"
"44","573415349498068992"
"45","570284451059646464"
"46","568039473608572928"
"47","567983371755888640"
"48","567794036640342016"
"49","566595158490488833"
"50","564725778706075649"
"51","562973112137158658"
"52","560862817595949056"
"53","560382296965271552"
"54","559994449112367104"
"55","559672828686249984"
"56","558920118680707072"
"57","557892931278082048"
"58","554948683586756608"
"59","553121841553080320"
"60","552203777596723200"
"61","546380473082318848"
"62","545179995287867392"
"63","545156089642491904"
"64","544803235891265536"
"65","543381914187726848"
"66","543380773903298560"
"67","543379867925237760"
"68","543379429914054656"
"69","543378833261723648"
"70","543378466713128960"
"71","543377607656734720"
"72","543376419741773825"
"73","543373707625107456"
"74","543371602206162944"
"75","543367113604608000"
"76","543363219558248448"
"77","543356243386302465"
"78","543322284052983808"
"79","542941124168777728"
"80","542608406939721728"
"81","542606642144374784"
"82","542592476247511041"
"83","542265830218940416"
"84","542258872158011392"
"85","541908420329484289"
"86","541292755771981824"
"87","540834209271910401"
"88","540832032742703104"
"89","540829719101734913"
"90","540463022733803520"
"91","540436207206141952"
"92","539785814000287744"
"93","539530342684971009"
"94","539504851588493312"
"95","532857402719485952"
"96","532857008308109313"
"97","532493195540975616"
"98","532076106862829568"
"99","530326376617082880"
"100","530024636470525952"
"101","529926938220326912"
"102","525608508038070272"
"103","523574293289246720"
"104","523482621826056193"
"105","523481245372907520"
"106","523479380056895488"
"107","523478063032840192"
"108","523475550346960896"
"109","523426058675449856"
"110","522010738559574017"
"111","521305781409685505"
"112","520924962816000000"
"113","519602268144795648"
"114","519481015870705664"
"115","519132517086277632"
"116","518145122056548352"
"117","518141307077009409"
"118","518075574527746048"
"119","517728224261206017"
"120","517725257818722304"
"121","517287016795738112"
"122","517283131209314304"
"123","517281718920032256"
"124","517280272648507392"
"125","516622255020056576"
"126","516618292388442112"
"127","516191235556777984"
"128","515877967244058624"
"129","515576722658689025"
"130","514441610411929600"
"131","513218629459259392"
"132","513046846097608704"
"133","512857016407445504"
"134","512660704357535744"
"135","511253876331524097"
"136","511252491724656640"
"137","511075990786031617"
"138","510761086598254592"
"139","510700563747864576"
"140","510016789162766336"
"141","509330004996812800"
"142","486548359910797312"
"143","481431400605032448"
"144","481382669335691264"
"145","479188776858968064"
"146","479172863002292224"
"147","476243512108023808"
"148","468811941113528320"
"149","466560372565348353"
"150","466510060974526466"
"151","466508259076362240"
"152","463657788091424768"
"153","459395867628564480"
"154","459329503287070720"
"155","458729967543930881"
"156","458520546389786624"
"157","454549875762683904"
"158","454124042912808960"
"159","453082739202600960"
"160","449182370076581888"
"161","449160675018170369"
"162","449159997495476224"
"163","447137725456875520"
"164","446753114545459201"
"165","446708706756272128"
"166","443111963242299392"
"167","441933817990111232"
"168","441846994316046336"
"169","441483043510173697"
"170","441479778865262592"
"171","441478477884436481"
"172","441146881507590144"
"173","440836820822007809"
"174","440796375392223232"
"175","440784796227489792"
"176","440784738077663232"
"177","440746420359163904"
"178","440072971093553153"
"179","439076236246401024"
"180","438632817329995776"
"181","438593030405492736"
"182","438418429276848129"
"183","438317868145737728"
"184","438301131236986880"
"185","438242451103711232"
"186","438232169023307776"
"187","438219920003059712"
"188","437945407297970177"
"189","436935328176558080"
"190","435729705921417216"
"191","435726503960391680"
"192","435700671648915456"
"193","434765242435137536"
"194","434268222482042880"
"195","434251378618544128"
"196","433931418574807040"
"197","433518781009518592"
"198","433137824687484928"
"199","432866148225658880"
"200","432207636034232320"
"201","432150987386933248"
"202","432115705367248896"
"203","432111430243201024"
"204","432105604082302976"
"205","431381655681777666"
"206","428811988798816256"
"207","428532548856455168"
"208","426466032522649602"
"209","426292011654602752"
"210","426003213473816576"
"211","425953821349916672"
"212","425950993524981760"
"213","423848569247125504"
"214","423024502101266432"
"215","423019764228063234"
"216","422734520618860544"
"217","411440166113669121"
"218","409021380932669440"
"219","409012764464934913"
"220","408945849939816448"
"221","408945059309309952"
"222","408944249204658176"
"223","408917591919693824"
"224","408871905807306752"
"225","408226853518716928"
"226","407927499444600832"
"227","407907876263309312"
"228","407819173977276416"
"229","407817019325562880"
"230","407812996279189505"
"231","407462282609057792"
"232","405805346046099456"
"233","405799498951458816"
"234","404957872712208384"
"235","404953008582057985"
"236","404941450875396096"
"237","404890439217852416"
"238","404887425937575936"
"239","404876251640655872"
"240","404612610743885825"
"241","402789691487178752"
"242","401361539422519296"
"243","401098438357823488"
"244","401096743376650240"
"245","401093453922459648"
"246","401091912280866816"
"247","401090375848574976"
"248","400558818532532224"
"249","400558809061785600"
"250","400214324205338624"
"251","398752622091698176"
"252","398740186789871617"
"253","398723915477811201"
"254","398719882709065729"
"255","398118270324064257"
"256","398082985041211392"
"257","395882857992044545"
"258","395545355690840064"
"259","395531837025435648"
"260","394128002206167040"
"261","392984579327672320"
"262","392936028451131392"
"263","392925131896799232"
"264","392701900485046273"
"265","390484076865413120"
"266","390375677548961793"
"267","389666866706538496"
"268","389414189607165952"
"269","388591779110735872"
"270","387999878313684992"
"271","387999825167663104"
"272","387998135848828930"
"273","387998084569239552"
"274","387998063614509056"
"275","387998003837276161"
"276","387997938771038209"
