"";"twitter_ids"
"1";"1368134751450767361"
"2";"1365669590035034113"
"3";"1363174757978497024"
"4";"1363150149460049920"
"5";"1363130725059420160"
"6";"1360279160967614471"
"7";"1360185134461440000"
"8";"1360185103381594115"
"9";"1359848375642906624"
"10";"1359848322991853569"
"11";"1358019813646467078"
"12";"1357973602138750976"
"13";"1357955445655285762"
"14";"1357954527954100224"
"15";"1357954488297021441"
"16";"1357954019076038657"
"17";"1357772484184068099"
"18";"1357772248057335815"
"19";"1357768097306972162"
"20";"1357767896915705856"
"21";"1357767213390979073"
"22";"1357766650964160512"
"23";"1357668423778643972"
"24";"1357567783110868994"
"25";"1357295537142304771"
"26";"1357286899484868609"
"27";"1355953641958625285"
"28";"1353696288404103169"
"29";"1353600708013154306"
"30";"1349300729538891776"
"31";"1349069949646630918"
"32";"1347121907720740864"
"33";"1346033836744970240"
"34";"1343994236849553409"
"35";"1338907027658207234"
"36";"1338893082968907782"
"37";"1338775355063152641"
"38";"1337818195625971713"
"39";"1337318673153978370"
"40";"1336682906807382016"
"41";"1383778724563222534"
"42";"1383384619697917958"
"43";"1382578004883341314"
"44";"1382577956451614725"
"45";"1380518234391199750"
"46";"1377904306024816642"
"47";"1377286154672877571"
"48";"1377185336485277704"
"49";"1376895702232600579"
"50";"1376895670968279045"
"51";"1370327855041757186"
"52";"1370325482990927874"
"53";"1369922397088980993"
"54";"1369653364997447680"
"55";"1393217248731484161"
"56";"1390630124014477312"
"57";"1390620090585042947"
"58";"1390615422383308802"
"59";"1390614438198325252"
"60";"1390613774340698115"
"61";"1390602832408190979"
"62";"1389140361164083200"
"63";"1385476987314188288"
"64";"1385476836390486033"
"65";"1405407956678623233"
"66";"1403591666217390088"
"67";"1399737561682268163"
"68";"1399737124681834498"
"69";"1399736191889645575"
"70";"1399724658690252811"
"71";"1399724548543627274"
"72";"1399723809142411273"
"73";"1399723732243988488"
"74";"1399723146949935112"
"75";"1399722216334495747"
"76";"1399722159317073927"
"77";"1399722097333739520"
"78";"1399721291981148164"
"79";"1399400864721379334"
"80";"1399400491600207881"
"81";"1399400388466548742"
"82";"1397921896503549953"
"83";"1396853895981375489"
"84";"1396712085225152512"
"85";"1419944521987674112"
"86";"1419575830234152960"
"87";"1416822432552325121"
"88";"1414104701331775490"
"89";"1412714888187760640"
"90";"1411285370575151105"
"91";"1411285147526254596"
"92";"1410923543408300036"
"93";"1410876842534477826"
"94";"1440624253838102534"
"95";"1439635436712960003"
"96";"1439635387538944000"
"97";"1438450633611296771"
"98";"1438450586106712067"
"99";"1432377812351176717"
"100";"1432350505691451403"
"101";"1432349461649498117"
"102";"1431196057623572481"
"103";"1431183894691319808"
"104";"1430895054801932289"
"105";"1430855517694529538"
"106";"1430842150506348545"
"107";"1430834333569458179"
"108";"1430827728606007298"
"109";"1427292429917507589"
"110";"1427235556677804036"
"111";"1427235294303199236"
"112";"1424037643323592704"
"113";"1424016531256643587"
"114";"1424014579366047744"
"115";"1423589083104915461"
"116";"1423222023426301960"
"117";"1450875296975134720"
"118";"1450875108164190209"
"119";"1450875046600364034"
"120";"1450875025331048453"
"121";"1449694909116686345"
"122";"1449694868658397189"
"123";"1448946517612564483"
"124";"1448946491532382222"
"125";"1468575531532800004"
"126";"1468571754876620802"
"127";"1468571225362518023"
"128";"1468570290045214720"
"129";"1468569872800141316"
"130";"1468566614568280079"
"131";"1468566572637773832"
"132";"1468566287420952577"
"133";"1468566208606011394"
"134";"1468566178083835907"
"135";"1465653434238091272"
"136";"1465653244181549060"
"137";"1456641732842561545"
"138";"1456641616853225475"
"139";"1456290150208712707"
"140";"1456225457259618309"
"141";"1455140164448264199"
"142";"1364350031667593223"
"143";"1364346750073503744"
"144";"1363597470513700865"
"145";"1363593672735027201"
"146";"1363065995347300358"
"147";"1362672906753486851"
"148";"1361580970835664896"
"149";"1361460883893977097"
"150";"1361456860382056450"
"151";"1360893331425947651"
"152";"1360890671104720898"
"153";"1360623025742348289"
"154";"1360551478788767748"
"155";"1360526524651347970"
"156";"1360523947738021888"
"157";"1359990140593184774"
"158";"1359647484260339718"
"159";"1359271397143543820"
"160";"1359030829666742275"
"161";"1358928036398252033"
"162";"1358685165942358016"
"163";"1358512371304660997"
"164";"1358504209684004865"
"165";"1358203168396611589"
"166";"1358201722812964864"
"167";"1358199508635693059"
"168";"1355542559414738944"
"169";"1355274620870529024"
"170";"1354593793333452802"
"171";"1353253095141158915"
"172";"1351938963032973314"
"173";"1351917255207088132"
"174";"1351916966144077826"
"175";"1351913317418283011"
"176";"1351613665942900736"
"177";"1351084534671011841"
"178";"1350925621032079360"
"179";"1350916720110804992"
"180";"1350914670505422853"
"181";"1350497232248860672"
"182";"1350186044566679559"
"183";"1349829443968249865"
"184";"1348733763128332290"
"185";"1348295171553832964"
"186";"1344281148650905601"
"187";"1343926680579158018"
"188";"1343921531894837248"
"189";"1343520293193703424"
"190";"1343220318824001536"
"191";"1343142035512025090"
"192";"1342843618730663938"
"193";"1342596025828204544"
"194";"1342536889472004098"
"195";"1342529633997250561"
"196";"1342507442043817986"
"197";"1342168029430509585"
"198";"1342076469674184704"
"199";"1342066117691510784"
"200";"1341876770530856970"
"201";"1341503106392219659"
"202";"1341386170991783941"
"203";"1340912279328595968"
"204";"1340787636227719171"
"205";"1340785695682682881"
"206";"1340774133009969154"
"207";"1340773579475087366"
"208";"1340612881264611328"
"209";"1340329500853358592"
"210";"1340237184461398018"
"211";"1340233385688612869"
"212";"1340233301605421058"
"213";"1340227855586897925"
"214";"1339901368501477376"
"215";"1339899143330918400"
"216";"1339893384471822338"
"217";"1339866378266918912"
"218";"1339590216252678146"
"219";"1339522802991415298"
"220";"1338819791235264516"
"221";"1338818100385419264"
"222";"1338816588875624452"
"223";"1338447379608072194"
"224";"1338443678348693504"
"225";"1338439384727773184"
"226";"1338433819498704897"
"227";"1338220346697256965"
"228";"1338217030944780288"
"229";"1338107740745510912"
"230";"1338105113207074816"
"231";"1337861646568579078"
"232";"1337704323560722441"
"233";"1337509958091497475"
"234";"1337466685612285953"
"235";"1337459828252356608"
"236";"1337336600477491200"
"237";"1337154061087469568"
"238";"1337152068776316930"
"239";"1337108847320772616"
"240";"1337038707346567169"
"241";"1337003008043995136"
"242";"1337002004565143552"
"243";"1336998583451742209"
"244";"1336996312601030657"
"245";"1336410658326376448"
"246";"1336400963045875712"
"247";"1336396848798572552"
"248";"1336394225609478145"
"249";"1336386113150328834"
"250";"1336384488717377536"
"251";"1336382005882318848"
"252";"1336377834529583104"
"253";"1336374679741870082"
"254";"1336372314942922754"
"255";"1336370277383610372"
"256";"1336366987799359492"
"257";"1336366188209823745"
"258";"1336365053851951104"
"259";"1336363223159894022"
"260";"1336359832396427268"
"261";"1336335416727728128"
"262";"1336331970003881991"
"263";"1336328851622821893"
"264";"1336310100567453698"
"265";"1336307653421785090"
"266";"1336284456643153920"
"267";"1336267155038490626"
"268";"1336264218610446336"
"269";"1336261242802081794"
"270";"1336258930041905152"
"271";"1336258757148413953"
"272";"1336256355083153408"
"273";"1336255719486709762"
"274";"1336253288631689217"
"275";"1336087563069698050"
"276";"1336085874489106433"
"277";"1336079488564727811"
"278";"1336076043816493059"
"279";"1336074774972403712"
"280";"1336073454878150656"
"281";"1336070671093338114"
"282";"1336069566087180288"
"283";"1336068633127235586"
"284";"1336063211192410113"
"285";"1336059696361459714"
"286";"1336054669995610116"
"287";"1336053124751089664"
"288";"1336009183330766848"
"289";"1336007278600867844"
"290";"1335955057959899137"
"291";"1335939459406245888"
"292";"1335884709247807488"
"293";"1335791695208787968"
"294";"1335789274386608129"
"295";"1335786280106520576"
"296";"1335782469178699776"
"297";"1335780488766742531"
"298";"1335779356619235328"
"299";"1335778161741729792"
"300";"1335776674252804097"
"301";"1335775371074162691"
"302";"1335772504468709377"
"303";"1335770434852294656"
"304";"1417543438384369665"
"305";"1417542758647087109"
"306";"1440649395343486976"
"307";"1440274720788664327"
